日期,浏览量,访客数,人均浏览量,平均停留时间,跳失率,成交客户数,成交单量,成交金额,客单价,成交商品件数,下单客户数,下单单量,下单金额,下单商品件数
2022/1/1,452364,68954,6.56,97.01,0.4,9593,10144,1031017,107.48,39392,11050,12507,1187654,44142
2022/1/2,834110,152613,5.47,106.95,0.46,15890,19094,1790335,112.67,39395,18843,22576,2123040.81,40220
2022/1/3,417625,65555,6.37,90.59,0.41,8930,10891,1149018,128.67,39412,10170,13339,1308573.9,45885
2022/1/4,1148466,302171,3.8,126.68,0.52,18942,20996,3211457,169.54,39448,19806,21148,3357909.24,43199
2022/1/5,427821,72782,5.88,82.86,0.41,11710,13125,1190114,101.63,39469,13761,16521,1398530.43,50941
2022/1/6,467915,103065,4.54,80.04,0.44,34651,35405,741581,21.4,39485,35895,36994,768153,43858
2022/1/7,523368,104172,5.02,83.69,0.44,15796,17502,1014059,64.2,39561,17626,19615,1131589.2,42278
2022/1/8,604035,99225,6.09,97.95,0.41,12088,12658,968713,80.14,39603,13710,14509,1098719.4,40828
2022/1/9,287369,54278,5.29,66.26,0.46,7845,8653,646868,82.46,39644,8711,10194,718309.06,45187
2022/1/10,362603,60829,5.96,85.33,0.42,8964,10555,916861,102.28,39675,10370,12830,1060643.6,44860
2022/1/11,349943,83562,4.19,50.23,0.61,7279,7945,719425,98.84,39676,8238,9650,814243.92,48064
2022/1/12,310206,60010,5.17,70.27,0.43,8529,9437,822115,96.39,39679,9496,11117,915319.44,41086
2022/1/13,305895,50670,6.04,79.27,0.41,7796,8442,756940,97.09,39814,8788,10256,853226.92,46746
2022/1/14,309745,84177,3.68,58.36,0.57,11445,12539,1046601,91.45,39892,12635,14582,1155470.75,41100
2022/1/15,480358,93865,5.12,81.32,0.44,12210,14380,964297,78.98,39908,13493,15960,1065677.14,46015
2022/1/16,441995,69582,6.35,84.01,0.43,7847,8619,827358,105.44,39937,8981,10700,946956.64,43511
2022/1/17,729683,146559,4.98,79.11,0.48,13482,15932,1157674,85.87,40002,15955,19821,1370055.85,52073
2022/1/18,311125,65396,4.76,58.2,0.53,7066,7761,750296,106.18,40005,7963,9348,845511.34,46013
2022/1/19,406520,86842,4.68,58.19,0.6,8477,10149,799631,94.33,40044,9504,12032,896512.32,43885
2022/1/20,535209,100077,5.35,85.13,0.43,13837,15692,1021893,73.85,40229,16019,19445,1183003.15,40685
2022/1/21,445281,195551,2.28,24.55,0.78,10677,12386,672876,63.02,40282,11536,13986,726998.72,41418
2022/1/22,508329,123059,4.13,53.57,0.6,9439,11704,938855,99.47,40459,10755,13937,1069799.85,46868
2022/1/23,408446,60293,6.77,85.57,0.4,7678,8447,763427,99.43,40461,8866,10549,881546.38,43054
2022/1/24,799362,124191,6.44,77.94,0.42,10949,18929,1100513,100.51,40463,12693,21408,1275773.43,40717
2022/1/25,1328497,389427,3.41,111.32,0.55,20808,23274,3977362,191.15,40527,25920,25815,4954608,53602
2022/1/26,534057,88761,6.02,98.38,0.4,11738,14000,1077866,91.83,40681,13631,16305,1251734.73,51567
2022/1/27,1242631,369243,3.37,103.94,0.55,22044,25642,4171434,189.23,40815,26651,25558,5043168.73,42897
2022/1/28,721908,167990,4.3,65.21,0.45,11479,11978,855445,74.52,40889,14282,15789,1064294.64,46124
2022/1/29,540767,81865,6.61,85.77,0.4,10108,11832,863028,85.38,40895,11709,14502,999714.42,49604
2022/1/30,225949,36492,6.19,76.04,0.42,7106,14552,856155,120.48,40950,7784,15966,937816.32,44860
2022/1/31,641309,132844,4.83,75.52,0.44,15392,17730,1464845,95.17,40960,18077,22035,1720388.09,42628
2022/2/1,547772,129413,4.23,71.67,0.52,16415,18181,982622,59.86,40983,18270,20422,1093642.2,47600
2022/2/2,446626,98085,4.55,74.48,0.49,14243,15754,991407,69.61,41075,15725,17549,1094617.25,48148
2022/2/3,276682,48640,5.69,68.04,0.43,8070,8999,755080,93.57,41122,8887,10574,831556.59,49410
2022/2/4,306920,51204,5.99,76.16,0.41,7783,8634,734536,94.38,41170,8733,10331,824220.54,45165
2022/2/5,477484,77491,6.16,81.4,0.41,10144,15755,940758,92.74,41233,11654,18117,1080791.96,47916
2022/2/6,469255,84353,5.56,81.32,0.43,11295,15087,1012087,89.6,41289,13032,17875,1167667.2,50578
2022/2/7,394548,61641,6.4,82.56,0.42,7903,9261,739128,93.52,41293,9009,11200,842521.68,42624
2022/2/8,566284,89541,6.32,96.08,0.4,12402,14458,1094976,88.29,41296,14088,16459,1243829.52,43526
2022/2/9,482933,79541,6.07,89.71,0.34,10609,13793,1002490,94.49,41312,12210,16450,1153722.9,42594
2022/2/10,625716,103066,6.07,84.77,0.42,12360,14934,1205458,97.53,41490,14207,18439,1385608.71,52354
2022/2/11,483459,97800,4.94,71.22,0.52,11444,14013,965605,84.38,41492,13077,16810,1103437.26,42858
2022/2/12,1025831,229494,4.47,63.73,0.34,12367,18896,1199283,96.97,41504,14698,22198,1425265.06,55046
2022/2/13,776338,176260,4.4,92.8,0.53,14789,19941,3310803,223.87,41507,16627,20305,3722286.49,45658
2022/2/14,371895,76055,4.89,58.33,0.51,7754,8420,729818,94.12,41564,8752,10168,823738.24,48910
2022/2/15,448100,76404,5.86,79.07,0.45,8896,9355,760333,85.47,41620,10077,11294,861281.19,51025
2022/2/16,318718,50172,6.35,82.59,0.4,8576,9456,799965,93.28,41628,9742,11400,908733.76,51801
2022/2/17,456852,81784,5.59,81.73,0.42,11282,12802,995725,88.26,41658,12972,15353,1144908.72,48858
2022/2/18,820629,129398,6.34,77.59,0.41,11911,20186,1180967,99.15,41755,13693,22594,1357660.95,49093
2022/2/19,549203,82388,6.67,94.25,0.37,12248,13855,1115973,91.11,41804,14334,17208,1305970.74,50908
2022/2/20,971475,153193,6.34,80.06,0.41,13846,22619,1267302,91.53,41855,16664,26871,1525255.92,49064
2022/2/21,515229,109945,4.69,69.16,0.54,11920,14290,1000725,83.95,41941,13765,17411,1155571.75,52108
2022/2/22,489621,77738,6.3,96.37,0.41,10002,10518,1106315,110.61,42001,12827,14326,1418794.47,52148
2022/2/23,421651,80408,5.24,75.25,0.44,10863,13104,955116,87.92,42125,12772,16090,1122914.24,48924
2022/2/24,311566,40995,7.6,91.81,0.39,8415,9946,731180,86.89,42399,9434,11973,819720.26,44766
2022/2/25,544475,92074,5.91,87.54,0.45,12812,15147,1032795,80.61,42490,14877,18656,1199234.97,46696
2022/2/26,533445,202043,2.64,40.94,0.76,9280,10349,807570,87.02,42512,10466,12332,910751.32,52356
2022/2/27,415830,122160,3.4,45.48,0.63,9436,10696,1061943,112.54,42519,10466,12459,1177843.64,42554
2022/2/28,383916,65615,5.85,82.11,0.44,8689,9486,850342,97.86,42604,9887,11593,967541.82,43637
2022/3/1,799791,186147,4.3,87.97,0.54,15053,20690,2416601,160.54,42698,18418,25016,2956825.72,49050
2022/3/2,2210445,739689,2.99,104.71,0.58,27853,30154,4338895,155.78,42744,33219,34421,5174855.82,49240
2022/3/3,776916,181592,4.28,95.71,0.52,15500,22256,3209378,207.06,42744,16611,22027,3439473.66,45001
2022/3/4,704818,113489,6.21,108.23,0.41,12085,12805,1065618,88.18,42760,14130,15386,1245983.4,49524
2022/3/5,548275,89819,6.1,93.25,0.42,12251,14003,1035203,84.5,42779,14186,16257,1198717,43533
2022/3/6,429342,69152,6.21,89.75,0.42,9706,10405,1133473,116.78,42780,11661,13373,1361771.58,54784
2022/3/7,587449,114338,5.14,76.84,0.44,11437,16839,987286,86.32,42970,14105,20578,1217543.6,49118
2022/3/8,586525,102637,5.71,72.51,0.46,10199,14561,1020142,100.02,43100,12238,17881,1224044.76,48160
2022/3/9,505425,105196,4.8,70.48,0.53,12572,14989,1049495,83.48,43122,14256,17927,1190090.88,46862
2022/3/10,1232269,320905,3.84,118.41,0.49,21591,24349,3776159,174.9,43123,25764,28148,4506123.6,55726
2022/3/11,554769,87469,6.34,94.19,0.41,11897,13565,1012440,85.1,43368,13627,15576,1159657.7,50050
2022/3/12,468061,90540,5.17,82.5,0.43,15813,17572,1024810,64.81,43392,17424,19527,1129249.44,46408
2022/3/13,344535,57511,5.99,82.8,0.4,11706,12860,894900,76.45,43425,13193,15306,1008604.85,45950
2022/3/14,490382,151731,3.23,34.77,0.69,8827,9835,946530,107.23,43552,9915,11775,1063185.45,48098
2022/3/15,524030,106620,4.91,64.14,0.43,10495,11914,1176794,112.13,43567,12480,15197,1399382.4,47850
2022/3/16,1047385,611103,1.71,15.06,0.89,11476,16319,1003791,87.47,43682,13509,19438,1181632.23,52432
2022/3/17,517151,99400,5.2,81.84,0.45,13951,16173,1079995,77.41,43718,15382,18021,1190720.62,53175
2022/3/18,527863,106797,4.94,80.08,0.45,17127,19007,1055677,61.64,43739,19100,21285,1177324,45528
2022/3/19,757702,142965,5.3,66.29,0.47,12976,22984,1213768,93.54,44241,15266,26449,1427981.64,50919
2022/3/20,288852,47156,6.13,66.77,0.41,8404,9243,770860,91.73,44279,9289,10973,852079.97,44930
2022/3/21,516674,132514,3.9,54.2,0.54,10486,11323,920916,87.82,44286,12227,14047,1073775.14,45863
2022/3/22,582660,212737,2.74,39.12,0.75,8646,9812,749769,86.72,44321,9705,11689,841617.6,45352
2022/3/23,529793,117709,4.5,64.09,0.55,14708,16558,1127943,76.69,44335,17459,21097,1338930.71,49912
2022/3/24,278505,43801,6.36,75.77,0.42,7424,8578,720000,96.98,44394,8302,10286,805127.96,54154
2022/3/25,487242,134403,3.63,49.6,0.59,10497,11769,1439690,137.15,44439,11512,13683,1578870.8,52687
2022/3/26,420891,68430,6.15,83.14,0.41,10289,12401,948858,92.22,44517,11833,14883,1091239.26,54346
2022/3/27,504297,172101,2.93,43.16,0.65,8056,8970,777353,96.49,44620,8901,10724,858857.49,47241
2022/3/28,418398,63525,6.59,82.04,0.41,9420,11324,846744,89.89,44642,10736,13752,965059.04,55871
2022/3/29,412793,81881,5.04,74.68,0.45,9411,10768,1210980,128.68,44951,11550,13902,1486254,45330
2022/3/30,867726,173567,5,102.21,0.44,20230,24999,3269131,161.6,45081,31521,30365,5093793.6,49433
2022/3/31,608047,122295,4.97,67.53,0.53,11457,14085,1003940,87.63,45157,13619,17644,1193432.97,51893
2022/4/1,951692,264658,3.6,56.13,0.56,17144,20064,1792277,104.54,45408,19692,24370,2058601.68,56064
2022/4/2,1592504,457375,3.48,90.54,0.52,27839,29542,3174713,114.04,45459,30966,31806,3531362.64,48859
2022/4/3,858323,206441,4.16,79.57,0.5,24191,29152,2448525,101.22,45493,28676,36645,2902584.72,59567
2022/4/4,333760,57948,5.76,74.57,0.44,8307,9217,788256,94.89,45567,9373,11083,889403.97,55193
2022/4/5,468591,84335,5.56,84.68,0.39,12424,15716,1138828,91.66,45668,14428,19015,1322470.48,57548
2022/4/6,332953,50697,6.57,82.7,0.42,8710,9946,794307,91.19,45674,9655,11647,880439.45,49881
2022/4/7,589730,96324,6.12,102.2,0.4,12152,13596,1327142,109.21,46150,13587,15432,1483836.27,51547
2022/4/8,1018963,589410,1.73,12.93,0.91,16508,19601,1234311,74.77,46228,19590,25784,1464744.3,60439
2022/4/9,560586,172161,3.26,44.12,0.71,10838,12133,1132006,104.45,46313,12339,14642,1288808.55,56370
2022/4/10,448011,91695,4.89,74.94,0.47,10852,12272,1177212,108.48,46383,12485,14970,1354372.8,55612
2022/4/11,579378,116342,4.98,69.17,0.46,11294,13083,1502468,133.03,46425,12989,16094,1727926.67,48077
2022/4/12,513558,87333,5.88,85.41,0.35,11272,13506,1064223,94.41,46520,12954,16381,1222987.14,50255
2022/4/13,631507,169596,3.72,63.74,0.55,10943,12058,883132,80.7,46532,12535,14674,1011574.5,49119
2022/4/14,368365,87169,4.23,54.82,0.59,8865,10030,852177,96.13,46746,10018,12141,963030.34,54280
2022/4/15,880923,172490,5.11,100.51,0.44,20363,26854,3508941,172.32,46746,27622,31191,4759823.04,62092
2022/4/16,1795130,938523,1.91,59.3,0.59,16223,19138,2196175,135.37,46889,19483,24032,2637413.71,57416
2022/4/17,448306,168258,2.66,36.82,0.67,8592,9521,793978,92.41,46940,9558,11273,883254.78,48531
2022/4/18,505220,87868,5.75,83.35,0.41,13568,14043,1064847,78.48,47082,14946,15707,1172962.08,56297
2022/4/19,832588,180905,4.6,89.21,0.47,15894,21054,2107518,132.6,47207,19090,23985,2531334,61967
2022/4/20,512013,103000,4.97,78.11,0.45,16192,18281,1212873,74.91,47219,18844,22513,1411604.04,50140
2022/4/21,544261,86145,6.32,85.25,0.4,11294,12032,1040754,92.15,47495,12939,14624,1192328.85,48302
2022/4/22,638348,103467,6.17,98.98,0.4,14087,16448,1326514,94.17,47552,16034,18728,1509921.78,52410
2022/4/23,840170,152541,5.51,93.69,0.34,19443,21205,1487359,76.5,47591,28334,34416,2167551,70523
2022/4/24,505222,89575,5.64,83.34,0.42,12166,12727,1035536,85.12,47731,13812,15226,1175677.44,53513
2022/4/25,399311,70061,5.7,80.09,0.44,9670,10560,940235,97.23,47803,11117,13064,1080905.91,49140
2022/4/26,533085,85292,6.25,89.67,0.41,13567,15123,1131074,83.37,47983,16212,19441,1351594.44,58671
2022/4/27,743060,174854,4.25,67.66,0.53,14720,17699,1701793,115.61,48073,17835,22407,2061904.35,58472
2022/4/28,755881,154465,4.89,69.41,0.51,14894,18065,1233415,82.81,48379,17577,22434,1455551.37,53749
2022/4/29,3226362,1871427,1.72,45.48,0.68,16481,21086,1771445,107.48,48495,20054,26790,2155403.92,60642
2022/4/30,556788,92513,6.02,93.45,0.39,12629,16526,1106304,87.6,48530,14866,19872,1302261.6,59343
2022/5/1,751759,158971,4.73,71.63,0.53,13902,16399,1580395,113.68,48544,16936,21090,1925284.48,48572
2022/5/2,435264,64700,6.73,84.84,0.39,8812,9803,873761,99.16,48627,10080,12260,999532.8,60771
2022/5/3,514173,95223,5.4,85.63,0.42,17856,19944,1140464,63.87,48658,19647,22091,1254853.89,58155
2022/5/4,864541,157789,5.48,116.94,0.41,19302,25803,4439998,230.03,48718,29505,34281,6787035.15,58514
2022/5/5,1568146,428764,3.66,114.74,0.52,21893,23933,3482537,159.07,48729,27260,27567,4336248.2,58650
2022/5/6,284352,49455,5.75,72.72,0.45,12776,25817,1000110,78.28,48920,14371,29017,1124961.88,51838
2022/5/7,688359,148531,4.63,70.23,0.52,18389,20949,1317747,71.66,48923,22257,26856,1594936.62,49556
2022/5/8,1638454,490953,3.34,58.93,0.54,10572,12359,1177529,111.38,48929,20804,24981,2317149.52,91371
2022/5/9,641318,262711,2.44,29.64,0.71,8531,9447,835197,97.9,48963,9506,11369,930637.4,54858
2022/5/10,743422,143900,5.17,81.55,0.41,15022,17748,1208355,80.44,49205,17931,22273,1442369.64,61693
2022/5/11,524056,93207,5.62,85.45,0.42,14195,14691,1119143,78.84,49276,15808,16602,1246302.72,51951
2022/5/12,644312,108545,5.94,100.22,0.41,13723,18252,1596602,116.34,49303,15622,20666,1817463.48,61403
2022/5/13,444467,84004,5.29,74.18,0.43,11367,13828,1054621,92.78,49340,13154,16707,1220428.12,54091
2022/5/14,648859,115129,5.64,82.3,0.46,14128,17011,1153310,81.63,49554,16478,20802,1345099.14,55779
2022/5/15,587771,218543,2.69,39.53,0.74,10436,11766,932387,89.34,49587,11708,13941,1045992.72,49610
2022/5/16,410681,60277,6.81,85.31,0.4,8958,10102,843463,94.16,49647,10097,12182,950733.52,55597
2022/5/17,1093874,297551,3.68,117.11,0.53,30308,32400,3457646,114.08,49765,32245,32596,3678509.6,53086
2022/5/18,868533,176842,4.91,76.85,0.44,11132,13408,1370252,123.09,49867,14368,18227,1768557.12,62837
2022/5/19,532672,91859,5.8,85.72,0.41,14676,15196,1185582,80.78,50099,16274,17109,1314613.72,55638
2022/5/20,456416,164409,2.78,144.78,0.58,22833,23843,2493758,109.22,50109,29835,27380,3258578.7,65001
2022/5/21,404776,84853,4.77,63.46,0.5,11152,12549,1197589,107.39,50220,12624,15142,1355691.36,59446
2022/5/22,665416,115784,5.75,92.73,0.43,16115,19133,1410275,87.51,50342,18578,23156,1625760.78,56211
2022/5/23,615340,144087,4.27,57.56,0.55,11051,14435,1640851,148.48,50415,12824,17642,1904107.52,56583
2022/5/24,683001,125399,5.45,100.27,0.46,22260,28993,1361372,61.16,50455,22822,29840,1395793.52,53086
2022/5/25,559717,105787,5.29,81.67,0.43,14922,17538,1185995,79.48,50632,16523,19498,1313248.04,56165
2022/5/26,538991,90238,5.97,90.41,0.41,14690,16798,1161806,79.09,50749,16542,19118,1308306.78,60837
2022/5/27,570818,119594,4.77,74.59,0.47,15826,17633,1189603,75.17,50767,18986,22783,1427177.62,67306
2022/5/28,1469638,424880,3.46,109.42,0.54,28323,34810,5496671,194.07,50792,33401,37392,6482132.07,62642
2022/5/29,445883,89596,4.98,72.16,0.47,11301,12866,1247337,110.37,50807,12930,15553,1427084.1,56669
2022/5/30,345130,59865,5.77,67.86,0.42,10874,12323,1023497,94.12,50937,12127,14744,1141393.24,60321
2022/5/31,487727,104775,4.66,73.82,0.45,12927,14584,1514582,117.16,51038,15231,18222,1784463.96,64373
2022/6/1,323507,56832,5.69,70.3,0.41,9330,10105,1005786,107.8,51048,10530,12190,1135134,55376
2022/6/2,359252,56597,6.35,78.75,0.41,8832,9972,914868,103.59,51224,10066,12297,1042736.94,58695
2022/6/3,500545,81341,6.15,83.06,0.4,12242,12839,1136301,92.82,51394,13966,15498,1296324.12,64653
2022/6/4,629728,135377,4.65,60.1,0.56,12758,14775,1169233,91.65,51597,14895,18348,1365126.75,52590
2022/6/5,918656,226341,4.06,75.51,0.52,23033,27922,2416473,104.91,51712,27174,34750,2850824.34,57901
2022/6/6,822032,207790,3.96,49.77,0.65,13072,15214,1100313,84.17,51736,15516,19015,1305981.72,63590
2022/6/7,988408,214711,4.6,75.56,0.47,22950,26362,2293876,99.95,51856,26914,32746,2690054.3,52697
2022/6/8,575362,91669,6.28,87.77,0.4,13465,16163,1284823,95.42,52162,15249,19470,1455059.58,57132
2022/6/9,635359,96303,6.6,88.22,0.39,13647,16697,1410600,103.36,52522,15436,20171,1595464.96,59524
2022/6/10,395345,58923,6.71,84.52,0.43,9820,11216,849557,86.51,52549,10967,13222,948755.17,64707
2022/6/11,993010,185583,5.35,107.52,0.43,23085,31964,4082509,176.85,52653,27114,37396,4795110.9,64006
2022/6/12,1012549,193496,5.23,109.33,0.43,22233,30198,4017197,180.69,52716,26402,32699,4770577.38,64281
2022/6/13,635185,103800,6.12,102.78,0.41,18741,20584,1353560,72.22,52736,20677,23254,1493292.94,62604
2022/6/14,391258,119837,3.26,31.8,0.71,9419,10603,893992,94.91,52770,10444,12591,991240.04,54652
2022/6/15,363201,57556,6.31,82.19,0.42,8900,9893,870252,97.78,52832,9989,11877,976724.42,63277
2022/6/16,1010598,217368,4.65,80.12,0.47,11216,14965,1259183,112.27,53155,16572,22280,1860538.44,56028
2022/6/17,854733,285726,2.99,45.28,0.65,11840,13663,2118692,178.94,53214,13821,17039,2473129.74,60103
2022/6/18,722145,129218,5.59,81.42,0.38,14953,17763,1285544,85.97,53285,17430,21733,1498457.1,54064
2022/6/19,531340,100117,5.31,80.73,0.44,15399,17815,1325968,86.11,53306,17999,22110,1549893.89,63374
2022/6/20,895856,190217,4.71,75.07,0.46,20774,23881,2347801,113.02,53361,24111,29320,2725025.22,60575
2022/6/21,553919,95856,5.78,87.69,0.41,15082,15694,1228349,81.44,53381,16898,18127,1376173.12,63187
2022/6/22,767982,146570,5.24,85.44,0.44,17970,20978,1340551,74.6,53553,22113,27312,1649629.8,59938
2022/6/23,400234,78571,5.09,59.49,0.47,10129,10973,1045406,103.21,53575,11406,13071,1177213.26,64057
2022/6/24,414631,62807,6.6,81.16,0.42,11459,12859,885796,77.3,53842,12965,15554,1002194.5,65215
2022/6/25,725209,110729,6.55,115.08,0.39,13467,15402,1991473,147.88,53921,15077,17503,2229586.76,67344
2022/6/26,597566,107481,5.56,71.21,0.41,10175,10936,1073992,105.55,54042,12172,13827,1284754.6,62727
2022/6/27,1012115,214543,4.72,74.45,0.45,22828,25423,2351260,103,54072,26229,31023,2701587,66950
2022/6/28,506460,78358,6.46,84.06,0.4,12661,13166,1159781,91.6,54143,14408,15757,1319772.8,65780
2022/6/29,1184064,205869,5.75,95.06,0.42,22949,23620,1026054,44.71,54212,28683,32316,1282416.93,67171
2022/6/30,1041036,167017,6.23,92.77,0.38,29818,30561,1590488,53.34,54254,39701,45528,2117651.34,74750
2022/7/1,705444,114917,6.14,96.9,0.4,17973,20953,1514508,84.27,54341,20165,23564,1699304.55,65091
2022/7/2,607687,243246,2.5,24.67,0.75,10416,12117,911143,87.48,54376,11512,14150,1007069.76,66184
2022/7/3,1105669,240009,4.61,69.06,0.53,20631,24091,1478989,71.69,54774,25059,30766,1796479.71,61352
2022/7/4,579672,98457,5.89,92.07,0.41,15724,18109,1270138,80.78,55028,17826,20674,1439984.28,59420
2022/7/5,572939,153231,3.74,51.69,0.61,12116,13768,1777594,146.71,55133,13784,16632,2022250.64,67977
2022/7/6,622090,135383,4.59,67.08,0.36,35126,37113,1730198,49.26,55558,43764,50239,2155814.64,58992
2022/7/7,629977,90348,6.97,105.04,0.4,13203,16457,1172331,88.79,55560,15044,18794,1335756.76,62779
2022/7/8,1055727,211185,5,103.53,0.45,23270,31597,4249413,182.61,55675,33541,44093,6124922.01,76825
2022/7/9,513834,77925,6.59,85.93,0.4,10379,11838,990400,95.42,55866,12017,14753,1146662.14,56260
2022/7/10,349159,55635,6.28,76.07,0.4,10116,11186,958860,94.79,56567,11242,13163,1065629.18,68002
2022/7/11,622394,116079,5.36,78,0.43,17317,19946,1336636,77.19,56576,19868,24214,1533610.92,61528
2022/7/12,665490,228775,2.91,32.89,0.78,11832,13953,1088259,91.98,56594,13287,16638,1222138.26,63829
2022/7/13,540627,83567,6.47,90.93,0.4,12296,14209,1356197,110.3,56853,13982,17285,1542214.6,67028
2022/7/14,966693,189196,5.11,81.82,0.43,19906,22763,2586288,129.93,56858,23475,29090,3050106.75,63603
2022/7/15,653751,95003,6.88,106.25,0.39,13681,16719,1227626,89.73,56886,15553,18858,1395570.69,62308
2022/7/16,977263,189796,5.15,84.43,0.43,12876,15477,1647446,127.95,57328,16845,21337,2155317.75,70425
2022/7/17,771332,212969,3.62,53.5,0.62,19215,20743,1355313,70.53,57380,22043,24113,1554692.79,65554
2022/7/18,595744,90878,6.56,102.71,0.39,13723,17101,1577630,114.96,57909,15173,18968,1744288.08,59597
2022/7/19,702186,118258,5.94,99.53,0.4,16075,18952,1433150,89.15,58012,18224,21615,1624669.6,59416
2022/7/20,935749,300857,3.11,46.13,0.6,14424,17378,2910221,201.76,58466,16686,21710,3366567.36,63844
2022/7/21,527900,75693,6.97,89.29,0.4,13237,13923,1064326,80.41,58485,14970,17055,1203737.7,58990
2022/7/22,360414,63045,5.72,73.22,0.41,10504,11449,1122990,106.91,58822,11661,13519,1246677.51,59066
