日期,浏览量,访客数,人均浏览量,平均停留时间,跳失率,成交客户数,成交单量,成交金额,客单价,成交商品件数,下单客户数,下单单量,下单金额,下单商品件数
2022/7/23,1132473,270721,4.18,95.65,0.54,21935,29493,4870721,222.05,58893,22908,29967,5086721.4,64801
2022/7/24,712496,115868,6.15,102.38,0.4,15383,20524,1726994,112.27,58946,17122,22863,1922286.94,59477
2022/7/25,561521,122033,4.6,63.18,0.49,13973,15606,1686359,120.69,58983,15764,18766,1902557.16,64262
2022/7/26,1067682,220776,4.84,77.71,0.43,24155,27546,2583995,106.98,59150,28083,33818,3004319.34,73864
2022/7/27,427801,69235,6.18,77.14,0.39,12970,15105,1190027,91.75,59432,14472,17659,1327806,68244
2022/7/28,363405,58939,6.17,72.82,0.4,11229,12182,1075309,95.76,59433,12477,14470,1194797.52,65466
2022/7/29,977386,188877,5.17,100.5,0.43,22705,29111,3314896,146,59450,30321,30755,4426866,85091
2022/7/30,545248,162710,3.35,31.26,0.34,13979,15708,1036398,74.14,59603,15490,18303,1148428.6,66774
2022/7/31,509549,79956,6.37,85.75,0.43,10729,11746,1004328,93.61,59722,12369,14601,1157862.09,60435
2022/8/1,645616,107618,6,89.33,0.4,17339,17865,1428866,82.41,59751,19376,20230,1596776.16,72391
2022/8/2,607075,138755,4.38,59.27,0.55,17606,19893,1382207,78.51,59793,19357,21975,1519718.07,61976
2022/8/3,1246675,295481,4.22,111.12,0.49,23072,31086,4433878,192.18,59800,27566,32190,5297633.88,74640
2022/8/4,462944,67062,6.9,89.3,0.4,10932,11974,1046601,95.74,60662,12220,14407,1169942.8,62060
2022/8/5,331738,59401,5.58,67.39,0.44,10094,15731,1014289,100.48,60664,11267,17976,1132108.16,70924
2022/8/6,937459,296520,3.16,38.23,0.65,13189,14630,1126425,85.41,61152,14838,17580,1267313.58,62960
2022/8/7,679019,109527,6.2,90.89,0.38,18278,21768,1431224,78.3,61335,20715,24568,1621984.5,69562
2022/8/8,567891,103159,5.5,77.6,0.4,18143,20601,1400512,77.19,61605,19807,22606,1528902.33,65357
2022/8/9,637704,131203,4.86,73.84,0.46,13131,15215,2152621,163.93,61726,15175,18796,2487637.75,68300
2022/8/10,459028,84693,5.42,74.07,0.43,13257,14351,1182170,89.17,61932,15090,17372,1345575.3,68174
2022/8/11,1086769,201651,5.39,114.74,0.42,25432,34396,5045536,198.39,62207,27889,36505,5532898.71,70925
2022/8/12,512205,91352,5.61,81.67,0.43,17224,19248,1593374,92.51,62484,19157,22737,1772214.07,70957
2022/8/13,571125,84156,6.79,93.28,0.42,11249,12449,1063487,94.54,62855,12888,15417,1218431.52,65930
2022/8/14,1018712,185886,5.48,83.18,0.35,20288,22844,1487651,73.33,63021,25093,29890,1840069.69,84128
2022/8/15,574922,115144,4.99,72.2,0.44,14615,16562,1997976,136.71,63069,16559,19921,2263780.89,77005
2022/8/16,1691344,723004,2.34,29.95,0.8,24728,25897,1558162,63.01,63242,33950,40209,2139189.5,81881
2022/8/17,456417,82201,5.55,75.79,0.45,11202,12182,1089901,97.3,63345,12647,14754,1230553.1,73866
2022/8/18,675403,109127,6.19,91.06,0.39,23243,26594,1496132,64.37,63385,25669,29349,1652313.53,67728
2022/8/19,1179325,194624,6.06,92.68,0.44,15463,18531,1647382,106.54,63669,18507,23281,1971735.78,81166
2022/8/20,880555,156871,5.61,80.11,0.41,15465,17949,2354211,152.23,64471,18279,22713,2782612.17,71783
2022/8/21,834914,156246,5.34,80.07,0.49,18595,21876,1590001,85.51,64478,22147,27647,1893789.97,82610
2022/8/22,802998,123227,6.52,106.52,0.39,15920,17473,1845636,115.93,64771,18379,20420,2130677.47,75139
2022/8/23,635762,216631,2.93,42.42,0.74,12193,13883,1037938,85.13,65306,13402,16183,1140912.26,69858
2022/8/24,862455,149692,5.76,83.73,0.38,16110,18924,1434494,89.04,65358,18853,23210,1678671.12,76175
2022/8/25,765386,121823,6.28,94.51,0.42,14684,16826,1314739,89.54,65386,17162,20888,1536685.48,82030
2022/8/26,1333675,292621,4.56,97.97,0.5,23587,32082,4710628,199.71,65697,24603,33419,4913465.13,70119
2022/8/27,845547,264488,3.2,47.36,0.64,14695,17678,2587077,176.05,65760,16660,21505,2932993,66516
2022/8/28,638139,91589,6.97,96.07,0.39,14483,18444,1643458,113.47,66010,16345,22462,1854667.15,69604
2022/8/29,1222394,260532,4.69,72.52,0.46,22719,27031,2303451,101.39,66180,26718,33320,2708938.02,80953
2022/8/30,626307,94560,6.62,92.18,0.43,12525,13905,1215833,97.07,66620,14584,17672,1415668.88,73094
2022/8/31,413840,60846,6.8,85.23,0.4,10596,11779,1010597,95.38,66669,11738,13993,1119570.44,79246
2022/9/1,762467,125781,6.06,102.13,0.41,16644,22244,2084118,125.22,66879,19115,25279,2393580.3,83232
2022/9/2,1493969,489328,3.05,44.33,0.59,18558,21527,3202866,172.59,66994,21545,26895,3718451.55,76536
2022/9/3,1371423,319581,4.29,81.82,0.49,28549,36095,3602687,126.19,67053,34274,45693,4325036.06,79136
2022/9/4,1446922,628670,2.3,17.15,0.79,11927,14438,1052542,88.25,67064,13283,16953,1172224.75,81036
2022/9/5,744962,113198,6.58,111.24,0.4,15331,17399,2219746,144.79,67166,17210,19820,2491835.9,74992
2022/9/6,669577,93577,7.16,105.02,0.38,15938,19056,1381159,86.66,67594,18015,21660,1561179.9,76471
2022/9/7,579819,133316,4.35,60.34,0.53,15246,16661,1568349,102.87,68216,16939,19643,1742514.93,84931
2022/9/8,716973,117611,6.1,100.09,0.4,15869,17674,1936114,122.01,68299,17818,20062,2173974.18,71439
2022/9/9,559672,77699,7.2,92.32,0.38,12286,13706,1195062,97.27,68333,14051,16871,1366740.77,74564
2022/9/10,1177239,215409,5.47,112.07,0.41,28522,38555,4937721,173.12,68362,40015,51666,6927396.8,81660
2022/9/11,383189,65512,5.85,69.34,0.39,12219,13211,1208311,98.89,68429,13635,15588,1348365.15,70938
2022/9/12,1119719,213809,5.24,85.86,0.42,23810,27394,3176934,133.43,68607,27931,34727,3726833.33,79973
2022/9/13,1233390,224817,5.49,119.91,0.42,29072,37791,6384373,219.61,68632,43790,44048,9616721.9,103524
2022/9/14,1197201,573370,2.09,25.44,0.61,12387,13910,1203521,97.16,68636,14397,17066,1398812.52,68849
2022/9/15,899872,136577,6.59,116.19,0.39,16566,18592,2283507,137.84,69058,19126,21681,2636327.84,73816
2022/9/16,694433,117849,5.89,82.99,0.44,16279,18624,1448734,88.99,69503,19077,23369,1697662.23,79873
2022/9/17,1353149,296200,4.57,79.14,0.48,26760,33714,3167746,118.38,69656,32398,42963,3835275.24,80401
2022/9/18,628401,198377,3.17,31.31,0.72,11743,12866,1153538,98.23,70112,13252,15633,1301743.96,79214
2022/9/19,874348,160415,5.45,103.51,0.46,24527,30109,2508758,102.29,70351,25695,29760,2628341.55,80549
2022/9/20,509866,123430,4.13,93.37,0.5,15182,22839,1407637,92.72,70825,16606,22480,1539708.32,82272
2022/9/21,1172546,213022,5.5,77.53,0.48,20834,25321,1761609,84.55,70992,24852,31644,2101236.6,76308
2022/9/22,1365537,309485,4.41,77.64,0.49,27126,34315,3487115,128.55,72155,32279,42970,4149465.45,77817
2022/9/23,569062,91710,6.21,85.88,0.46,12094,13472,1176670,97.29,72952,13885,16822,1350871.65,87952
2022/9/24,686146,117688,5.83,77.94,0.45,14432,16078,1552809,107.59,72996,17283,20948,1859477.97,77914
2022/9/25,2079675,411317,5.06,93.83,0.42,37449,47361,4548024,121.45,73381,45651,61241,5544313.95,99443
2022/9/26,722405,141985,5.09,90.66,0.55,17569,18299,1719091,97.85,73557,20561,22651,2011893.85,80613
2022/9/27,816676,129328,6.31,102.65,0.39,17641,19336,2031855,115.18,73684,20428,22592,2352897.04,91052
2022/9/28,465198,56315,8.26,100.09,0.37,13031,15012,1134663,87.07,74728,14380,17471,1252066.6,81000
2022/9/29,1268684,233606,5.43,90.09,0.41,25961,29654,3446766,132.77,75147,30329,37418,4026781.33,83812
2022/9/30,1019539,165491,6.16,91.11,0.37,19589,24072,1724579,88.04,75752,22858,29186,2012418.32,94874
2022/10/1,731429,101923,7.18,90.17,0.38,13521,15217,1310498,96.92,75936,15660,19187,1517767.2,76389
2022/10/2,1001825,180608,5.55,94.31,0.42,19652,22386,2475596,125.97,75963,22124,25465,2786960.28,80219
2022/10/3,2656964,1268792,2.09,22.4,0.84,30769,31912,1837461,59.72,76194,40260,46887,2404327.2,80027
2022/10/4,1150464,322085,3.57,56.43,0.55,18591,22066,3428737,184.43,76272,21031,26875,3878747.33,86060
2022/10/5,863318,160518,5.38,70.78,0.41,18188,21025,2083639,114.56,76633,21160,26267,2424089.6,84275
2022/10/6,911785,160154,5.69,79.39,0.43,17677,21076,1599543,90.49,76700,20282,25284,1835318.18,89698
2022/10/7,574702,114903,5,71.91,0.44,18052,20153,2332963,129.24,77742,20146,23922,2603669.04,86685
2022/10/8,657924,93667,7.02,95.79,0.42,13905,15461,1337244,96.17,78488,15958,19263,1534680.86,89749
2022/10/9,1129344,304983,3.7,43.52,0.39,25048,27094,1790331,71.48,78649,28128,32340,2010589.44,79154
2022/10/10,2034903,488023,4.17,101.58,0.5,45565,50848,5406107,118.65,78772,62682,60607,7437219.3,95957
2022/10/11,1608903,359731,4.47,81.95,0.49,31164,39593,3441242,110.42,79386,36929,49353,4077700.18,90855
2022/10/12,907050,222772,4.07,52.81,0.5,19160,21206,1657962,86.53,79470,20748,24577,1795324.44,90989
2022/10/13,879524,135105,6.51,108.55,0.39,17823,20394,2452902,137.63,79597,19941,23111,2744479.83,95120
2022/10/14,1673010,349446,4.79,74.85,0.37,21784,25277,4054712,186.13,82384,26260,32807,4887773.8,109538
2022/10/15,1883034,519391,3.63,126.28,0.52,41376,47468,8944010,216.16,82916,57411,64543,12409961.76,106281
2022/10/16,1319055,328390,4.02,69.71,0.4,53555,55974,3518714,65.7,83215,63525,69683,4173592.5,94649
2022/10/17,540729,123308,4.39,56.44,0.57,15949,18550,1841046,115.43,83477,17246,21481,1990705.78,97172
2022/10/18,587284,77959,7.53,93.07,0.36,15095,16674,1354130,89.71,83571,17511,20828,1570911.81,99828
2022/10/19,542976,78607,6.91,84.96,0.38,15102,17318,1368051,90.59,85010,16831,20360,1524720.29,88500
2022/10/20,699189,229777,3.04,39.66,0.63,15637,17035,1564635,100.06,85256,17400,20045,1741044,97327
2022/10/21,1476539,281680,5.24,94.73,0.45,21577,25069,3828299,177.43,87797,24821,29211,4403990.03,95444
2022/10/22,573581,77379,7.41,92.25,0.36,14435,16036,1322973,91.65,87993,16151,19217,1480239.15,98971
2022/10/23,1302846,245375,5.31,91.12,0.43,33891,34994,2023422,59.7,88615,37696,39380,2250451.2,95658
2022/10/24,1772854,415309,4.27,85.66,0.46,50725,61647,4650527,91.68,89276,66516,84985,6098186.88,117468
2022/10/25,661716,119154,5.55,68.37,0.52,13972,15664,1490067,106.65,89566,15955,19221,1701600.75,102949
2022/10/26,622140,132514,4.69,63.24,0.46,18457,20609,2005834,108.68,89695,20963,24666,2278258.84,99456
2022/10/27,945521,160383,5.9,101.39,0.41,21237,26757,2323599,109.41,89766,24115,30457,2638422.15,103244
2022/10/28,1080653,188029,5.75,101.05,0.41,20494,23438,3192252,155.77,89780,23427,27200,3649223.79,103605
2022/10/29,468910,82377,5.69,71.11,0.41,15779,17145,1636164,103.69,90685,17499,20154,1814471.31,100096
2022/10/30,2238229,913467,2.45,34.28,0.77,23434,27116,3516495,150.06,90950,26258,30831,3940275.48,110035
2022/10/31,1385482,255516,5.42,103.91,0.47,22346,25943,4136519,185.11,91277,25288,29812,4681061.68,103865
2022/11/1,573332,91326,6.28,72.14,0.45,14331,15948,1491501,104.08,91560,16143,19184,1680163.44,104046
2022/11/2,536497,72748,7.37,92.47,0.37,15282,16696,1459995,95.54,91591,16954,19872,1619785.16,101768
2022/11/3,688401,197780,3.48,42.43,0.68,15234,16948,1481904,97.28,91734,17033,20348,1656970.24,103072
2022/11/4,889993,158580,5.61,80.99,0.39,20466,24693,2189798,107,91772,26451,34029,2830257,119184
2022/11/5,1480785,289465,5.12,83.29,0.42,23606,26840,2839584,120.29,94155,30372,36944,3653447.88,122279
2022/11/6,1633388,347383,4.7,82.31,0.47,26437,30983,4285939,162.12,94588,31479,39545,5103375.48,113962
2022/11/7,1058839,194025,5.46,71.16,0.42,20806,24119,2476060,119.01,94694,24344,30329,2897179.44,111404
2022/11/8,1637526,302636,5.41,93.63,0.42,32504,38265,4781616,147.11,96036,38010,47488,5591651.1,112983
2022/11/9,2317797,568625,4.08,78.75,0.43,53239,64586,5760995,108.21,97083,70252,90264,7601968.92,129444
2022/11/10,1337614,246406,5.43,96.79,0.48,23297,27061,4155254,178.36,98071,26038,30600,4644137.68,111445
2022/11/11,2304945,272681,8.45,144.99,0.39,20958,24829,3821042,182.32,98099,24701,29425,4503486.32,116784
2022/11/12,745102,161375,4.62,61.89,0.54,21010,23587,2488686,118.45,98167,23588,27980,2793998.6,111553
2022/11/13,484133,83672,5.79,70.53,0.4,16597,18143,1664367,100.28,98623,18561,21534,1861297.08,110813
2022/11/14,919431,114907,8,115.64,0.37,18363,23462,1839469,100.17,98817,20714,26312,2074921.38,112292
2022/11/15,1228564,224270,5.48,78.47,0.42,28297,34051,3103789,109.69,101087,33125,41780,3633481.25,118926
2022/11/16,2072351,442782,4.68,89.5,0.43,50524,61105,5805822,114.91,101785,59090,75483,6790031.9,119747
2022/11/17,2004353,437942,4.58,86.05,0.44,45157,55615,5141392,113.86,102185,53860,70374,6132499.6,123114
2022/11/18,1643610,290869,5.65,94.45,0.4,36631,42845,5021622,137.09,102391,41889,52943,5742563.01,117690
2022/11/19,1134761,209369,5.42,72.1,0.42,23592,27489,2828265,119.88,103556,27650,34759,3314682,121831
2022/11/20,1847776,358483,5.15,91.88,0.44,31525,37261,5181282,164.35,104413,37061,47265,6090975.35,124301
2022/11/21,1738687,315030,5.52,97.53,0.41,42689,50540,5393376,126.34,107205,48653,61645,6146820.02,124657
2022/11/22,1168464,215297,5.43,71.5,0.4,23329,27106,2799886,120.02,107219,26998,33766,3240299.96,124673
2022/11/23,1074660,193926,5.54,79.61,0.4,30424,33541,2425907,79.74,109216,34218,38096,2728543.32,124109
2022/11/24,770614,106499,7.24,90.09,0.38,18318,20170,1744425,95.23,109935,20788,24626,1979641.24,124926
2022/11/25,1249436,381713,3.27,41.46,0.66,25356,30294,4506614,177.73,110187,28990,37620,5152392.7,126651
2022/11/26,832435,157329,5.29,75.39,0.41,27759,30578,3023026,108.9,112462,31402,36802,3419677.8,127797
2022/11/27,1035864,244530,4.24,59.3,0.48,38687,42275,3259302,84.25,112786,46920,54723,3953010,137544
2022/11/28,1811004,332561,5.45,96.73,0.41,39171,46182,5786262,147.72,112897,46129,58217,6814175.88,134401
2022/11/29,1956250,382092,5.12,35.94,0.41,19398,21868,3306287,170.44,113656,21813,26287,3717807.72,127703
2022/11/30,1322968,241882,5.47,74,0.41,25729,30037,3219842,125.14,114010,29837,37435,3733802.18,132569
2022/12/1,505624,71734,7.05,83.5,0.37,17513,19318,1669050,95.3,115564,19294,22599,1838718.2,124517
2022/12/2,2118093,524311,4.04,119.78,0.49,71792,76088,7220679,100.58,116639,81318,76063,8178964.44,123355
2022/12/3,2012831,416846,4.83,88.63,0.42,47195,58119,5325332,112.84,116997,56374,72707,6361242.16,125192
2022/12/4,1335892,181123,7.38,100.48,0.39,21368,23472,2025416,94.79,118971,25187,30271,2387475.73,133151
2022/12/5,593846,86766,6.84,81.38,0.37,20647,23069,1856817,89.93,120364,22782,26738,2048785.26,134485
2022/12/6,2182208,444377,4.91,93.51,0.45,39077,47592,8037875,205.69,120445,46377,61418,9539285.13,132975
2022/12/7,2147101,437045,4.91,93.55,0.44,38589,46124,7278588,188.62,121589,45501,58739,8582398.62,129957
2022/12/8,1069735,151846,7.04,101.77,0.35,28320,39362,2839831,100.28,121772,33725,51769,3381943,132054
2022/12/9,1939744,341314,5.68,111.06,0.41,40273,49298,6951784,172.62,121965,47223,62155,8151634.26,135318
2022/12/10,1941555,339778,5.71,96.64,0.4,42359,50657,6133625,144.8,122956,48926,62705,7084484.8,132980
2022/12/11,1627691,362215,4.49,64.63,0.53,32284,38189,5098996,157.94,125136,36990,47294,5842200.6,131101
2022/12/12,2176345,355011,6.13,102.59,0.34,43168,50088,3135457,72.63,126367,54584,66094,3964435.92,131654
2022/12/13,1450033,259413,5.59,80.39,0.41,34901,41451,4816526,138.01,129375,39266,50088,5419100.66,131531
2022/12/14,1746124,356882,4.89,88.64,0.47,30924,35868,5741237,185.66,129648,36470,45616,6771020.2,140469
2022/12/15,1543705,296642,5.2,77.9,0.43,35286,42681,5694598,161.38,131813,40001,51997,6455361.38,146914
2022/12/16,1909844,330823,5.77,92.71,0.42,32697,37842,4185019,127.99,135561,39955,49423,5113840.45,150059
2022/12/17,978943,132727,7.38,119.86,0.39,24157,32138,2387598,98.84,136978,27021,35864,2670755.64,152491
2022/12/18,2378314,436910,5.44,107.64,0.42,47256,56443,8564137,181.23,138544,55330,71690,10027455.9,146801
2022/12/19,1624941,255532,6.36,116.03,0.4,32145,36895,5291864,164.62,138688,35649,41498,5868538.38,149602
2022/12/20,2170596,382590,5.67,102.93,0.39,56476,69108,7066450,125.12,138868,65050,85428,8139056,140901
2022/12/21,1278506,203275,6.29,88.78,0.46,28885,36969,4168491,144.31,138875,33355,45015,4813460.05,144939
2022/12/22,2295954,398884,5.76,99.09,0.4,47750,59743,6055905,126.83,140822,55007,73668,6976537.81,145226
2022/12/23,1414170,219641,6.44,105.59,0.39,43861,47291,3941701,89.87,142492,48504,53753,4359054.48,159191
2022/12/24,1711704,308517,5.55,83.26,0.41,40499,49102,6442512,159.08,144658,45955,59732,7310521.4,162346
2022/12/25,1992986,358583,5.56,107.39,0.42,36288,42136,5902893,162.67,144689,43071,53547,7006359.57,150941
2022/12/26,1788464,407395,4.39,67.61,0.52,40456,48820,6640477,164.14,145472,45791,59509,7516134.74,161059
2022/12/27,1863123,411187,4.53,93.52,0.49,63399,71906,6994176,110.32,147140,85865,83848,9472626.8,150349
2022/12/28,2291375,407471,5.62,105.57,0.41,47268,56846,7985244,168.94,147423,55680,72517,9406579.2,153428
2022/12/29,1634930,285331,5.73,78.96,0.42,36892,44187,5414302,146.76,151043,41513,53376,6092447.88,161976
2022/12/30,1981370,338293,5.86,107.09,0.42,36863,42978,6358677,172.49,152815,43979,55359,7585937.71,158835
2022/12/31,2179778,350505,6.22,109.25,0.39,46117,54957,6834375,148.2,153260,54874,70696,8132326.8,160577
2023/1/1,1986056,606575,3.27,39.59,0.46,39465,43971,4912702,124.48,169068,46244,54721,5756453.12,177522
2023/1/2,2375098,415626,5.71,108.3,0.43,41792,48482,7452656,178.33,169486,51043,63926,9102498.19,173181
2023/1/3,1595423,254111,6.28,79.2,0.42,41863,49213,4482003,107.06,175813,47749,59471,5112007.94,181133
2023/1/4,2330470,379974,6.13,109.65,0.39,51247,60847,7385392,144.11,177281,60146,76929,8667640.06,180317
2023/1/5,907949,130143,6.98,80.23,0.41,26533,30408,2924763,110.23,178152,29582,36591,3260823.86,187468
2023/1/6,2712450,446025,6.08,114.5,0.39,61945,73261,10475485,169.11,184915,72135,93317,12198749.85,185215
2023/1/7,1520185,224437,6.77,99.69,0.39,41963,49547,4225961,100.71,181861,47689,60207,4802759.19,189439
2023/1/8,1573574,223913,7.03,114.2,0.37,32878,49564,3286368,99.96,184980,37382,55002,3736704.72,188755
2023/1/9,3389981,735802,4.61,84.05,0.36,102444,118953,12252501,119.6,185039,124309,159757,14867356.4,191857
2023/1/10,2680756,435164,6.16,123.11,0.3963,47986,54293,7204777.54,150.14,184028,54549,62524,8189986.86,189064
2023/1/11,1941555,339778,5.71,96.64,0.3977,42359,50657,6133625.08,144.8,185041,48926,62705,7084484.8,192631
2023/1/12,2375098,415626,5.71,108.3,0.43,41792,48482,7452656.18,178.33,186780,51043,63926,9102498.19,191722
2023/1/13,2176345,355011,6.13,102.59,0.3405,43168,50088,3135456.65,72.63,188577,54584,66094,3964435.92,191447
2023/1/14,2542299,468978,5.42,52.59,0.4115,50678,56802,6114879.54,120.66,184832,56364,67611,6800880.24,191405
2023/1/15,1319055,328390,4.02,69.71,0.4001,53555,55974,3518713.93,65.7,186177,63525,69683,4173592.5,191910
2023/1/16,2126310,292333,7.27,96.03,0.4364,48699,55476,5219139.45,107.17,185605,55315,69982,5928108.55,189928
2023/1/17,2004353,437942,4.58,86.05,0.4447,45157,55615,5141391.75,113.86,185454,53860,70374,6132499.6,191101
2023/1/18,2179778,350505,6.22,109.25,0.3879,46117,54957,6834374.62,148.2,184695,54874,70696,8132326.8,188427
2023/1/19,2378314,436910,5.44,107.64,0.423,47256,56443,8564136.95,181.23,184074,55330,71690,10027455.9,189719
2023/1/20,2291375,407471,5.62,105.57,0.413,47268,56846,7985244.07,168.94,188714,55680,72517,9406579.2,191248
2023/1/21,2012831,416846,4.83,88.63,0.4168,47195,58119,5325332.32,112.84,187831,56374,72707,6361242.16,190500
2023/1/22,2295954,398884,5.76,99.09,0.3988,47750,59743,6055904.8,126.83,187576,55007,73668,6976537.81,190721
2023/1/23,2072351,442782,4.68,89.5,0.4278,50524,61105,5805821.68,114.91,186345,59090,75483,6790031.9,190411
2023/1/24,2330470,379974,6.13,109.65,0.3883,51247,60847,7385392.06,144.11,184900,60146,76929,8667640.06,187643
2023/1/25,3542424,863743,4.1,43.04,0.5499,57007,67543,8713148.69,152.84,184648,64406,82701,9843813.04,189722
2023/1/26,1772854,415309,4.27,85.66,0.4554,50725,61647,4650527.47,91.68,186479,66516,84985,6098186.88,189963
2023/1/27,2170596,382590,5.67,102.93,0.3909,56476,69108,7066450.49,125.12,186466,65050,85428,8139056,193018
2023/1/28,2317797,568625,4.08,78.75,0.425,53239,64586,5760995.23,108.21,185528,70252,90264,7601968.92,188625
2023/1/29,2712450,446025,6.08,114.5,0.3886,61945,73261,10475485.38,169.11,189177,72135,93317,12198749.85,192339
2023/1/30,2903543,448072,6.48,121.55,0.3658,70472,84245,11293431.47,160.25,187542,81945,106858,13131686.25,192644
2023/1/31,2640106,463144,5.7,85.54,0.395,105614,110146,8349290.7,79.05,188539,108100,113500,8545305,195355
2023/2/1,3428303,458569,7.48,97.84,0.3935,78567,96627,7172057.37,91.29,184407,89890,117549,8206058.1,188198
2023/2/2,3389981,735802,4.61,84.05,0.3584,102444,118953,12252500.92,119.6,189200,124309,159757,14867356.4,192850
2023/2/3,4397758,788501,5.58,78.57,0.4183,110350,133515,20686452.09,187.46,189315,126584,168408,23729436.64,193106
2023/2/4,8174865,1270463,6.43,111.95,0.3598,141497,177722,18183369.25,128.51,189164,171849,193567,22084314.99,195733
